"Action","Ação"
"Deal %s is not available now","Oferta %s indisponível no momento"
"Deal status:","Status da oferta:"
"Deal succeed template for admin","Modelo de oferta com sucesso para o admin"
"Deal succeed template for customer","Modelo de oferta com sucesso para o cliente"
"Deal successfully archived","Oferta arquivada com sucesso"
"Deal successfully closed","Oferta terminada com sucesso"
"Deal successfully closed, refunds completed","Oferta terminada com sucesso, reembolsos concluídos"
"Deal successfully deleted","Oferta deletada com sucesso"
"Deal successfully reopened","Oferta reaberta com sucesso"
"Deal view image size, px","Ver tamanho da imagem da oferta, px"
"Dear %s","Prezado(a) %s"
"Delete Deal","Deletar Oferta"
"Delete","Deletar"
"Description","Descrição"
"Details","Detalhes"
"Discount","Disconto"
"Edit Deal","Editar Oferta"
"Edit Deal '%s'","Editar Oferta '%s'"
"Edit Deal #'%s'","Editar Oferta #'%s'"
"Email sender","Email do remetente"
"Enable coupons","Habilitar cupons"
"Enabled","Habilitado"
"Enable","Habilitar"
"Enable or disable module frontend functionality","Habilitar ou Desabilitar a funcionalidade do modulo de frontend"
"Error: associated product has been deleted","Erro: associado aos produtos que foram deletados"
"Error while coupons generating","Erro enquando os cupons são gerados"
"Expired","Expirado"
"Expires at:","Expira em:"
"Expires at","Expira em"
"Expires","Expira"
"Failed","Número mínimo de compras não atingido"
"Featured Deal","Destaque da Oferta"
"Featured deal tab settings","Tabela de configurações de destaque da Oferta"
"from","de"
"General Information","Informação Geral"
"General Section","Informação Geral"
"General settings","Configurações Gerais"
"Generate coupons","Gerar cupons"
"Generate","Gerar"
"Group deals","Compras coletivas"
"Group Deals","Compras Coletivas"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Comprar)"
"hour","hora"
"hours","horas"
"ID:","ID:"
"ID","ID"
"If empty, emails will be sent to General Contact","Se vazio, os emails serão enviados para o Contato Geral"
"Image","Imagem"
"Incorrect coupons number","Número de cupons incorretos"
"Incorrect deal","Oferta Incorreta"
"Information","Informação"
"Is active","Ativo"
"Is Active","Ativo"
"Is featured","Destacado"
"Leave empty or set zero for unlimited","Deixar vazio ou colocar zero para ilimitado"
"Limited quantity available","Quantidade limitada disponível"
"Linked Product Visibility","Visibilidade do Produto Linkado"
"Linked-to-deal product visibility","Visibilidade do produto linkado-a-oferta"
"Maximum allowed purchases","Máximo de compras permitidas"
"minute","minuto"
"minutes","minutos"
"My deals","Minhas ofertas"
"Name in Store","Nome na Loja"
"Name","Nome"
"New Deal","Nova Oferta"
"Next step","Próximo passo"
"No coupons found","Nenhum cupom encontrado"
"No deals available","nenhuma oferta disponível"
"No deals found","nenhuma oferta encontrada"
"No","Não"
"Not enough coupons to close this deal","Cupons insuficientes para terminar essa oferta"
"Notifications","Notificações"
"Notify about deal expiration template","Notificar sobre o modelo de expiração da oferta"
"Notify admin before deal expires, days","Notificar o admin antes que a oferta termine, dias"
"Not Running","Não Executado"
"Not used","Não Usado"
"Only closed deals can be deleted. Deal #%d is not closed","Somente quando terminar a oferta poderá ser deletada, Oferta #%d não está terminada"
"Order Id","Id do Pedido"
"Order #","Pedido #"
"Orders","Pedidos"
"Order %s: %s","Pedido %s: %s"
"Payment status:","Status do Pagamento:"
"Pending","Pendente"
"Please enter a number greater than 0 in this field","Por favor digite no campo um valor maior que 0."
"Please select item(s)","Por favor selecione o(s) item(s)"
"Price paid:","Preço pago:"
"Price","Preço"
"print","imprimir"
"Product name","Nome do produto"
"Product Name","Nome do Produto"
"Product price","Preço do produto"
"Purchased at:","Comprado em:"
"Purchased deals","Ofertas compradas"
"Purchased From (Store)","Comprado de (Store)"
"Purchased On","Comprado em"
"Purchased","Comprado"
"Purchase Information","Informação de Compra"
"Purchases left to reach","Compras restantes para atingir"
"Purchases to complete","Compras para completar"
"Purchase view","Vizualizar compras"
"Qty %d for deal "%s" is not available","Quantidade %d por compra "%s" não está disponível"
"Qty is not available, available qty: %s","Quantidade indisponível, quantidade disponível: %s"
"Qty","Qtd"
"Qty to reach deal","Qtd para a oferta ser válida e ter sucesso"
"Reopen","Reabrir"
"Running","Executando"
"Save and Continue Edit","Salvar e Continuar Editando"
"Save Deal","Salvar Oferta"
"%s  bought","%s  comprados"
"seconds","segundos"
"Select product linked to deal","Selecione um produto para criar uma oferta"
"Share this deal","Compartilhar essa oferta"
"Ship to Name","Entregar no Nome"
"Short description","Descrição curta"
"Show deal menu in top links","Mostrar o menu de oferta nos links do topo"
"SKU","SKU"
"%s  more needed to get the deal","%s  mais são necessários para começar essa oferta"
"Sort order","Classificar Pedido"
"Status","Status"
"Store view","Visão da loja"
"Store View","Visão da Loja"
"Succeed","Sucesso"
"Successfully deleted","Deletado com sucesso"
"Successfully saved","Salvo com sucesso"
"Success","Sucesso"
"The deal is arranged with %s bought!","A oferta foi finalizada com %s vendidos!"
"There are no deals available","Não existem ofertas disponíveis"
"This deal can not be closed as success","Essa oferta foi finalizada sem sucesso"
"Thumbnail size, px","Thumbnail size, px"
"Time Left To Buy","Tempo restante para comprar"
"Time Left To Run","Tempo Restante para terminar"
"Time to finish","Tempo de término"
"Time to start","Tempo para iniciar"
"Title","Título"
"Total of %d record(s) were successfully deleted","Total de %d record(s) foram deletados com sucesso"
"Total of %d record(s) were successfully updated","Total of %d record(s) foram atualizados com sucesso"
"Twitter","Twitter"
"Unable to find items to delete","Não foi possível encontrar o item para deletar"
"Unable to find item to save","Não fo possível encontrar o item para salvar"
"Upcoming deals tab settings","Tabela de Configurações de ofertas futuras"
"Upcoming Deals","Ofertas Futuras"
"Used","Usado"
"Value","Valor"
"View This Deal!","Veja essa Oferta!"
"View","Ver"
"Websites","Websites"
"Yes","Sim"
"Your coupon code for deal %s","Seu código do cupom para a oferta %s"
"You save","Economize"
